[     371ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/09q._next_dist_0hjurs0._.js:2431
[     565ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/09q._next_dist_0hjurs0._.js:2431
[   57468ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed:  @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   58476ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   59481ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   60485ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   61490ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   62497ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   67504ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   72519ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   77551ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   82578ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   87616ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   92728ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
[   97948ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=PPiu-ErMLRmrTKETDV0xl' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/09q._next_dist_client_0slhn09._.js:13299
